Customer ID,Name,Age,Gender,Signup Date,Last Purchase,Total Purchases,Total Spent ($),Country,Email,Device Type,Is Subscribed,Feedback Score
96,Savannah Garcia,67,Male,2023-07-01,2024-04-11,20,585.09,USA,sandersjames@gmail.com,Desktop,No,5.3
97,Samantha Davis,43,Male,2021-06-25,2024-03-17,5,2980.88,Germany,buchananjohn@buchanan.com,Mobile,No,7.9
98,Kristen Willis,61,Male,2024-01-15,2024-07-13,37,3924.04,UAE,kristinacarlson@yahoo.com,Tablet,No,7.9
99,Brianna Anderson,60,Female,2021-08-24,2025-01-15,5,2554.51,UAE,guerreroanthony@howard.org,Mobile,No,7.5
100,Christopher Williams,70,Female,2023-09-26,2024-08-17,7,2195.94,UAE,alvarezkimberly@wheeler.org,Tablet,No,7.1
101,Richard Camacho,63,Male,2022-10-19,2024-01-30,28,921.88,China,browntimothy@yahoo.com,Tablet,No,5.4
102,Brian Joseph,57,Female,2022-06-20,2022-10-12,30,2206.09,Brazil,charlene12@weber-richards.com,Desktop,No,6.9
103,Kyle Phillips,33,Male,2022-09-24,2025-04-21,18,4414.07,Germany,mcguiredanny@hotmail.com,Desktop,No,7.0
104,Patricia Le,39,Male,2021-06-30,2023-04-29,32,4262.22,UK,robertwilcox@yahoo.com,Desktop,Yes,6.3
105,Brandon Simmons,40,Female,2023-05-30,2024-06-28,22,1434.31,Brazil,gloriawells@gmail.com,Tablet,No,7.3
106,Anna Davis,53,Male,2023-09-21,2024-07-06,34,4742.91,India,willisanna@santiago-jenkins.biz,Mobile,No,8.1
107,Michelle Schmitt,49,Male,2023-02-18,2024-06-17,45,2406.66,Singapore,lanejason@hotmail.com,Desktop,Yes,10.0
108,Dr. Gregory Hawkins,23,Female,2021-01-25,2023-06-09,15,2051.79,Germany,xbruce@austin.com,Desktop,No,7.8
109,Donald Farmer,48,Female,2024-07-01,2025-03-21,28,4983.33,China,whitedouglas@hotmail.com,Desktop,No,7.9
110,Charles Schultz,62,Female,2020-09-16,2021-06-28,18,1567.78,Germany,vbarnes@wood.com,Mobile,Yes,7.4
111,Latoya Miller,38,Male,2020-10-20,2022-02-15,48,2702.53,UK,craigjoseph@coleman.com,Mobile,Yes,4.6
112,Ashley Jordan,65,Female,2021-10-14,2024-09-01,18,3636.7,China,brandon69@gmail.com,Tablet,No,7.5
113,Eric Clark,24,Male,2021-03-01,2023-05-03,19,1176.04,UK,david76@gmail.com,Desktop,Yes,7.6
114,Joseph Hall,63,Male,2022-12-15,2024-06-17,18,275.3,USA,chensley@smith-morse.com,Tablet,No,10.0
115,Laura Mckinney,62,Male,2022-05-10,2023-08-02,41,4348.88,Singapore,usmith@solis.info,Mobile,Yes,7.2
116,Tamara Davis,54,Female,2024-03-03,2024-05-24,31,2419.64,UAE,hchapman@foster.com,Mobile,Yes,8.0
117,Richard Jones,34,Female,2023-04-10,2023-10-04,8,4119.47,Australia,michael23@thomas.com,Desktop,Yes,7.4
118,Paige Rios,54,Male,2021-05-02,2025-05-18,10,788.53,Brazil,wwebster@hotmail.com,Desktop,Yes,5.7
119,Thomas Cunningham,33,Male,2023-04-13,2024-08-27,36,3834.0,Brazil,scottharrison@hotmail.com,Tablet,Yes,9.2
120,Donald Brown,67,Female,2022-09-27,2023-01-20,29,4547.1,Canada,dhayes@yahoo.com,Tablet,No,8.6
121,Angela Lin,37,Male,2024-03-20,2024-05-29,40,4802.54,India,ycarpenter@hotmail.com,Mobile,Yes,8.7
122,Joanna Pacheco,34,Male,2023-05-09,2024-02-25,11,1237.33,China,dmason@yahoo.com,Mobile,Yes,6.1
123,Steven Cooper,18,Female,2023-08-14,2023-10-18,29,3462.39,Singapore,wrightsamuel@warren-bishop.com,Desktop,Yes,9.6
124,Douglas Ortiz,32,Female,2022-01-07,2024-11-26,46,1449.46,Singapore,cameron18@hughes.org,Mobile,Yes,5.4
125,Felicia Aguilar,34,Male,2021-03-07,2024-02-26,28,618.14,Germany,tanderson@gmail.com,Tablet,Yes,8.4
126,James Conner,35,Male,2024-01-15,2024-04-23,5,345.21,Canada,bromero@parker-bean.com,Tablet,No,10.0
127,Katelyn Perez,46,Male,2021-03-01,2022-06-25,30,3458.96,Australia,megan18@conley.com,Desktop,No,6.0
128,Lisa Harper,46,Male,2021-03-27,2022-08-13,39,247.31,Australia,jenniferwilliams@rhodes-young.info,Tablet,No,6.7
129,Nicole Bowers,56,Female,2021-07-29,2023-11-05,2,502.07,Brazil,tammy73@gregory-hudson.info,Tablet,Yes,7.6
130,Douglas Reyes,66,Female,2022-10-28,2024-08-08,37,249.15,UK,laurietaylor@williams-castillo.com,Desktop,No,6.7
131,Ashley Singleton,35,Male,2024-03-14,2024-06-18,38,2207.63,Singapore,hinesjoshua@hotmail.com,Mobile,No,5.2
132,Jeffrey Potts,40,Female,2021-07-10,2024-12-29,22,1639.24,India,sarah60@yahoo.com,Mobile,No,7.6
133,Cynthia Vang,44,Female,2022-03-05,2023-02-16,19,3329.79,Australia,sarah52@johnson.com,Tablet,Yes,5.9
134,Julie Gilbert,47,Male,2024-06-07,2024-08-07,21,1299.37,India,jason28@lynch.com,Desktop,Yes,8.2
135,Anthony Barnes,60,Female,2023-12-16,2025-04-12,27,318.31,China,rodriguezrebecca@hotmail.com,Desktop,No,6.1
136,Lynn Andrews,58,Female,2023-08-21,2023-12-10,49,305.48,Canada,wsmith@gmail.com,Tablet,Yes,9.8
137,Chelsea Barnett,36,Female,2022-10-22,2024-05-04,45,2449.32,USA,myerstheodore@hughes.com,Tablet,Yes,6.3
138,Haley Quinn,63,Male,2023-04-02,2023-09-10,20,2776.65,China,bradleypayne@hotmail.com,Desktop,Yes,7.0
139,Richard Marshall,32,Male,2023-07-16,2024-07-21,30,4737.95,UK,bryanparsons@johnson-harris.com,Desktop,No,8.7
140,Emily Collins,50,Female,2022-04-10,2024-07-31,27,4181.88,Singapore,benjamin34@yahoo.com,Mobile,No,5.7
141,Amber Rios,53,Male,2021-09-28,2022-04-09,25,993.52,Brazil,vpreston@yahoo.com,Tablet,Yes,7.8
142,Jasmine Beltran,22,Female,2022-09-09,2024-10-20,50,3960.53,Australia,laurie61@yahoo.com,Desktop,No,9.5
143,Samantha Gardner,70,Male,2021-12-11,2022-05-19,19,3643.95,Brazil,donna47@robbins.info,Tablet,No,5.1
144,Sergio Gomez,27,Female,2022-06-06,2023-08-06,35,2447.49,UAE,lambertrichard@owen.com,Tablet,No,7.8
145,Megan Kim,47,Female,2021-02-12,2021-09-08,13,4904.83,Germany,michael90@hernandez.info,Tablet,No,7.9
146,Laura Moreno,32,Female,2022-04-10,2023-08-11,3,1624.97,Singapore,susanjohnson@gmail.com,Tablet,No,8.7
147,Mr. Justin Green III,42,Male,2022-06-24,2023-05-23,32,4825.88,UK,igonzalez@gmail.com,Tablet,No,5.6
148,Steven Wallace,24,Female,2020-12-14,2023-09-02,7,2653.46,Singapore,piercekelly@yahoo.com,Mobile,Yes,5.5
149,Michelle Ho,44,Male,2023-04-17,2024-01-12,5,2373.98,Canada,davidharris@gmail.com,Desktop,No,8.3
150,Johnny Ward,59,Male,2023-01-06,2024-08-01,22,4269.09,China,cherylmiller@yahoo.com,Desktop,No,7.9
151,Mitchell Mendoza,58,Female,2022-04-30,2024-01-26,35,227.7,India,teresaday@owens-holmes.com,Mobile,No,7.9
152,Penny Bowman,32,Male,2021-05-09,2024-08-13,28,4892.77,India,dshaw@holmes.com,Desktop,Yes,8.0
153,Timothy Perez,62,Female,2022-10-15,2023-12-30,2,277.66,USA,james84@weber.net,Desktop,No,6.5
154,Martin Vargas,41,Female,2023-01-19,2023-09-15,10,1258.78,Australia,megan90@miller.org,Tablet,Yes,7.8
155,Daniel Armstrong,28,Male,2023-03-18,2023-05-04,6,3066.98,Australia,dawn47@gmail.com,Tablet,Yes,7.9
156,Melinda Evans,49,Male,2020-11-21,2021-05-26,15,2332.69,Canada,dperry@peterson.com,Desktop,No,6.4
157,Emma Travis,60,Male,2022-01-18,2023-09-29,30,4510.99,China,zachary15@owens.info,Mobile,Yes,10.0
158,Brent Roberts,46,Female,2022-03-19,2024-10-29,38,1530.81,Australia,sydneybarrera@yahoo.com,Tablet,No,8.2
159,Michelle Lee,47,Female,2021-04-04,2025-06-30,13,4996.9,Singapore,fkoch@gmail.com,Mobile,Yes,5.7
160,James Bryant,42,Female,2021-08-08,2022-07-08,37,1514.57,Canada,williamstroy@hotmail.com,Mobile,No,8.5
161,Donna Smith,35,Male,2021-01-13,2024-09-12,37,4332.08,USA,jessica65@morales.net,Tablet,No,6.0
162,Juan Jones,36,Male,2022-09-22,2024-08-21,39,4019.56,Germany,andersoncolin@yahoo.com,Tablet,Yes,8.7
163,Gina Mcmillan,57,Female,2023-10-16,2024-02-05,44,3790.11,UK,cporter@taylor.info,Tablet,Yes,9.2
164,Brittany Barry,58,Male,2021-03-05,2023-12-18,20,3953.62,USA,phillipjensen@yahoo.com,Tablet,No,6.3
165,Katie Hicks,64,Male,2022-08-30,2025-01-20,6,4552.66,UAE,xcabrera@yahoo.com,Tablet,No,8.9
166,Veronica Silva,29,Male,2023-12-20,2025-07-05,9,3943.24,UAE,pbaker@lane.com,Tablet,No,8.1
167,Michelle Hampton,28,Female,2022-03-13,2022-10-28,31,4838.55,Canada,armstrongjackie@smith.biz,Tablet,No,8.7
168,Michael Jenkins,69,Male,2023-11-16,2025-03-04,30,4816.32,UK,thorntonapril@hotmail.com,Mobile,No,10.0
169,Matthew Fox,69,Female,2021-11-30,2022-08-26,6,3963.88,USA,amy49@yahoo.com,Desktop,Yes,7.1
170,David Grant,47,Female,2021-07-15,2025-07-16,44,3757.61,Canada,janet75@yahoo.com,Tablet,No,6.4
171,Timothy Pope,70,Female,2021-09-28,2022-12-19,7,3390.44,Singapore,zhuang@blevins-ballard.com,Mobile,No,6.2
172,Tyler Miller,57,Male,2024-07-05,2025-06-13,42,362.92,Singapore,ilewis@yahoo.com,Tablet,No,6.3
173,Melissa Taylor,59,Female,2023-03-14,2024-03-19,8,741.9,USA,santiagoamanda@hall.info,Desktop,No,7.4
174,Randy Smith,25,Male,2022-12-02,2023-08-04,16,4441.93,UK,mwoods@yahoo.com,Desktop,No,8.0
175,Matthew Velez,41,Female,2020-12-16,2022-12-07,38,3724.23,UK,robertmonroe@osborn.info,Desktop,Yes,7.9
176,Paul Brennan,49,Female,2021-10-23,2025-07-15,18,211.95,UAE,evanscarrie@mitchell-hays.net,Mobile,No,8.7
177,Stacy Anderson,46,Male,2022-09-22,2024-09-18,24,541.81,UAE,lisarivera@hotmail.com,Tablet,No,7.5
178,David Lopez,21,Female,2023-09-18,2024-06-05,18,989.55,India,gregorychase@yahoo.com,Desktop,Yes,9.7
179,Kaylee Miller,60,Male,2023-06-05,2023-10-31,42,3215.49,USA,thomasboyle@green.info,Mobile,No,7.1
180,Tiffany Turner,33,Male,2023-08-27,2024-11-13,37,1065.77,China,desiree30@wilson.net,Mobile,Yes,10.0
181,Stacy Carrillo,70,Male,2023-07-08,2023-10-07,22,3883.12,Brazil,christina32@yahoo.com,Mobile,No,8.4
182,Paul Obrien,27,Male,2022-05-07,2025-05-01,35,1290.74,UK,kathleenbecker@hotmail.com,Mobile,Yes,6.2
183,Angela Griffin,26,Male,2023-07-29,2024-05-05,23,3960.42,Germany,brownamy@harris.net,Tablet,No,5.9
184,Michael Love,19,Male,2022-08-29,2023-01-17,17,309.38,Australia,chavezwilliam@yahoo.com,Tablet,Yes,8.2
185,Kristin Chambers,65,Male,2021-11-21,2024-12-18,31,2268.96,UAE,ascott@robinson.com,Tablet,Yes,7.2
186,Amy Shannon,46,Male,2024-07-20,2025-01-19,40,264.66,China,robert26@haney-reyes.biz,Desktop,No,8.6
187,Michael Stanley,59,Male,2022-11-15,2023-06-09,4,4993.0,Australia,whiteamanda@hotmail.com,Desktop,Yes,8.2
188,William Davenport,49,Female,2023-10-18,2023-11-04,5,4501.37,UAE,inunez@yahoo.com,Tablet,Yes,7.4
189,Samantha Wright,22,Male,2022-01-19,2022-09-16,18,3140.37,Brazil,sharonhardy@gmail.com,Tablet,No,6.2
190,Matthew Mendez,42,Female,2024-07-24,2025-07-02,30,2552.48,Australia,jamiegarcia@griffin.com,Mobile,Yes,5.2
191,Andrew Gonzales,59,Male,2022-11-16,2023-10-19,28,2285.2,Germany,williamroberts@johnston.com,Desktop,No,6.8
192,Shawn Odom,70,Female,2022-10-18,2023-09-26,26,2109.15,India,joshua89@hotmail.com,Desktop,No,8.8
193,Lori Simmons,38,Female,2022-09-08,2022-11-19,24,4770.28,Singapore,ufloyd@hotmail.com,Mobile,Yes,7.8
194,Chase Bennett,23,Male,2023-10-15,2024-12-05,28,527.99,UAE,melissaturner@hotmail.com,Mobile,Yes,5.6
195,Joel Brown,55,Female,2022-05-03,2024-02-09,43,655.04,UAE,nsanchez@lucas-nielsen.com,Tablet,No,7.8
196,Nathaniel Lee,64,Male,2021-09-21,2023-04-29,19,3022.03,UAE,lopezkathleen@powers.com,Mobile,Yes,8.1
197,Terry Lewis,27,Female,2021-05-22,2025-06-24,15,4244.01,UAE,srocha@padilla.com,Tablet,No,6.2
198,Jamie Ferguson,25,Female,2022-02-09,2023-06-03,37,1169.49,Australia,william77@gmail.com,Tablet,Yes,7.7
199,Miranda Gill,56,Female,2021-12-10,2022-10-21,2,943.06,Canada,robert93@hotmail.com,Desktop,No,7.6
200,Dean Donovan,18,Male,2023-01-16,2024-10-25,10,2853.29,Australia,jameshall@hotmail.com,Mobile,Yes,5.8
201,Kathryn Pena,65,Male,2023-06-29,2024-03-17,6,3743.25,Germany,plevy@hotmail.com,Desktop,No,8.0
202,Christopher Norton Jr.,47,Female,2023-08-23,2024-10-20,11,1881.76,UAE,sabrinaweaver@hotmail.com,Tablet,Yes,8.3
203,Kelly Combs,21,Male,2020-11-23,2021-04-22,11,3784.46,USA,otaylor@jones.com,Tablet,Yes,9.1
204,Jesus Brown,35,Female,2023-04-17,2025-05-06,43,2148.87,Brazil,smithandrea@gmail.com,Desktop,No,9.1
205,Nathan Nichols,35,Male,2021-10-19,2021-11-14,49,2586.11,UAE,danieldavis@gmail.com,Desktop,Yes,5.4
206,Manuel King,36,Female,2022-02-01,2023-03-23,34,3352.31,USA,watsonrichard@hotmail.com,Mobile,No,6.1
207,Michael Evans,56,Male,2024-02-07,2024-04-09,1,1061.89,Germany,sullivannicholas@brown-smith.com,Mobile,No,8.3
208,Ryan Newman,36,Female,2021-12-27,2024-05-24,8,88.26,Australia,hallrachel@clay.com,Mobile,Yes,8.3
209,Diana Daniels,42,Male,2023-05-19,2023-07-09,33,2815.68,UAE,alexis39@goodwin.biz,Mobile,No,8.3
210,Elizabeth Elliott,65,Male,2022-12-28,2024-08-23,28,142.77,India,icampos@hotmail.com,Desktop,No,10.0
211,Kathryn Mccann,54,Female,2020-10-22,2021-08-21,46,3218.7,Canada,marypeterson@hotmail.com,Mobile,No,8.4
212,Jennifer Ayala,19,Female,2020-09-15,2023-01-12,11,4016.54,Brazil,jperez@yahoo.com,Desktop,No,9.2
213,Michael Guerrero,23,Female,2020-12-11,2023-06-16,7,1254.42,Brazil,millereric@bowers.com,Desktop,Yes,8.9
214,Aaron Parker,43,Female,2022-02-10,2025-05-07,48,1730.59,UAE,andersonjacob@yahoo.com,Mobile,Yes,8.5
215,Kayla Garcia,50,Male,2020-12-17,2023-12-21,34,2574.26,UAE,michelle04@hughes-miller.net,Desktop,Yes,7.0
